"","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p"
"Average",-0.0609674586972946,-0.0108722218306576,-0.374186539531938,0.360755413322576,0.186778630775679,-0.0500952368666369,-0.42172287201987,0.313219080834644,0.186778630775679,4.60763564677992,38.7890238617732,-28.8091142466781,-17.1794352327321,0.05,0.397191574724172
"Cumulative",-0.243869834789178,-0.0434888873226306,-1.49674615812775,1.4430216532903,0.747114523102714,-0.200380947466548,-1.68689148807948,1.25287632333857,0.747114523102714,4.60763564677992,38.7890238617732,-28.8091142466781,-17.1794352327321,0.05,0.397191574724172
