"","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p"
"Average",0.00426520108375017,0.103799183045674,-0.108691439976401,0.310337876024621,0.105112554746274,-0.0995339819619234,-0.30607267494087,0.112956641060151,0.105112554746274,-0.958909107387932,-2.94870023019538,1.08822283322257,1.0126530061419,0.05,0.170541082164329
"Cumulative",0.0170608043350007,0.415196732182694,-0.434765759905603,1.24135150409848,0.420450218985097,-0.398135927847694,-1.22429069976348,0.451826564240603,0.420450218985097,-0.958909107387932,-2.94870023019538,1.08822283322257,1.0126530061419,0.05,0.170541082164329
