"","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p"
"Average",-0.0751420513815826,0.0824604140693391,-0.0706700466197739,0.235654740019487,0.0780218935182629,-0.157602465450922,-0.31079679140107,-0.00447200476180861,0.0780218935182629,-1.91124998861147,-3.76904233272134,-0.054232140503784,0.946173923558715,0.05,0.0222
"Cumulative",-0.30056820552633,0.329841656277357,-0.282680186479096,0.942618960077949,0.312087574073052,-0.630409861803687,-1.24318716560428,-0.0178880190472344,0.312087574073052,-1.91124998861147,-3.76904233272134,-0.054232140503784,0.946173923558715,0.05,0.0222
