"","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p"
"Average",0.12008571347083,0.197142680620585,0.103094987327614,0.290101978109242,0.0471186605498763,-0.0770569671497552,-0.170016264638411,0.0169907261432165,0.0471186605498763,-0.390869023933263,-0.862402114566046,0.0861849199256669,0.239007912449762,0.05,0.0496695373522932
"Cumulative",0.480342853883321,0.788570722482342,0.412379949310455,1.16040791243697,0.188474642199505,-0.308227868599021,-0.680065058553646,0.0679629045728659,0.188474642199505,-0.390869023933263,-0.862402114566046,0.0861849199256669,0.239007912449762,0.05,0.0496695373522932
