"","datesnames","response","cum.response","point.pred","point.pred.lower","point.pred.upper","cum.pred","cum.pred.lower","cum.pred.upper","point.effect","point.effect.lower","point.effect.upper","cum.effect","cum.effect.lower","cum.effect.upper"
"1","2020-02-25","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-27","0.405465108108164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-29","1.09861228866811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-03-02","0.693147180559945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-03-04","0.47692407209031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-03-06","0.640037355245997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-03-08","0.637057713908901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-03-10","0.559615787935423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-03-12","0.506420330298075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-03-14","0.774208218260382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-03-16","0.440959961475216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-03-18","0.480508184126547","0.480508184126547","0.439505792672404","0.350134386249453","0.52896723053445","0.480508184126547","0.480508184126547","0.480508184126547","0.041002391454143","-0.0484590464079024","0.130373797877094","0","0","0"
"13","2020-03-20","0.372108093275478","0.852616277402025","0.416464776565398","0.331761123550171","0.508675113333108","0.852616277402025","0.852616277402025","0.852616277402025","-0.0443566832899199","-0.136567020057631","0.040346969725307","0","0","0"
"14","2020-03-22","0.405465108108165","1.25808138551019","0.411045393241969","0.326423823023115","0.511616629998074","1.25808138551019","1.25808138551019","1.25808138551019","-0.00558028513380465","-0.106151521889909","0.0790412850850495","0","0","0"
"15","2020-03-24","0.388572814543657","1.64665420005385","0.40573481470371","0.317486743141994","0.50099351470112","1.64665420005385","1.64665420005385","1.64665420005385","-0.0171620001600526","-0.112420700157462","0.0710860714016633","0","0","0"
"16","2020-03-26","0.26833079132448","1.91498499137833","0.405863112549172","0.308096554867885","0.510795992051288","2.05251731260302","1.95475075492173","2.15745019210513","-0.137532321224692","-0.242465200726807","-0.0397657635434047","-0.137532321224692","-0.242465200726807","-0.0397657635434046"
"17","2020-03-28","0.179930511203111","2.09491550258144","0.406383810966803","0.300250917639406","0.516059309611002","2.45890112356982","2.29686656406761","2.63924768133217","-0.226453299763692","-0.336128798407891","-0.120320406436296","-0.363985620988384","-0.54433217875073","-0.201951061486173"
"18","2020-03-30","0.150880922145703","2.24579642472714","0.406383924045588","0.294294399302018","0.520905308989809","2.86528504761541","2.62385977163029","3.1165801140403","-0.255503001899885","-0.370024386844106","-0.143413477156315","-0.619488622888269","-0.870783689313155","-0.378063346903146"
"19","2020-04-01","0.107634907927022","2.35343133265416","0.406666369594264","0.288806986324244","0.528450088635822","3.27195141720967","2.95183040425617","3.60771467927602","-0.299031461667243","-0.420815180708801","-0.181172078397223","-0.918520084555512","-1.25428334662186","-0.598399071602003"
"20","2020-04-03","0.073160566439789","2.42659189909395","0.40635808891177","0.277667728842663","0.532470057951956","3.67830950612144","3.26959604494014","4.09835900335199",NA,NA,NA,NA,NA,NA
"21","2020-04-05","0.0447158268229728","2.47130772591692","0.406383940160435","0.274646361876996","0.541034929293349","4.08469344628188","3.57701525662295","4.59636176636326",NA,NA,NA,NA,NA,NA
"22","2020-04-07","0.0476396276197342","2.51894735353666","0.406000476699084","0.270735854714996","0.549187043275147","4.49069392298096","3.87550858958113","5.1055374792095",NA,NA,NA,NA,NA,NA
