"","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p"
"Average",0.137478310788629,0.451191416369938,0.228813790710264,0.67257417258737,0.111407019874537,-0.313713105581308,-0.535095861798741,-0.0913354799216349,0.111407019874537,-0.695299365633523,-1.18596197175881,-0.202431776420914,0.246917418710805,0.05,0.00280168100860516
"Cumulative",0.549913243154517,1.80476566547975,0.915255162841057,2.69029669034948,0.445628079498148,-1.25485242232523,-2.14038344719496,-0.36534191968654,0.445628079498148,-0.695299365633523,-1.18596197175881,-0.202431776420914,0.246917418710805,0.05,0.00280168100860516
